Чек-лист https://tatragarden.ua/ PivtorakY.
№ п/п	    Name	                                        Status	  Comment
1	Змінити локалізацію з Української на Російську   	Pass	
2	Збільшити маштаб сторінки до max	                Failed	Сторінка не читабельна, спливаюче вікно для звязку із менеджером перекриває все.
3	Зменшити маштаб сторінки до min	                        Pass	
4	Змінити локалізацію з Російської на Українську	        Pass	
5	Обрати запропонований товар і натиснути "купити"	Pass	
6	Ввести валідний телефон та Прізвище і ім'я	        Pass	Телефон +38 (096) 192-75-87 Ім'я та Прізвище Півторак Юрій
7	Ввести телефон буквами                             	Failed	Номер телефону валідується
8	Ввести прізвище цифрами та телефон цифрами	        Pass	Телефон +38099999999 Прізвище 987654321
9	Змінити локалізацію під час оформлення замовлення	Failed	Змінюється кількість товару в корзині Рос +1 товар назад на Укр -1 товар
10	Натиснути додати ще товар під час закінчення оформлення	        Pass	
11	Натиснути продовжити під час заповнення форми без данних	Failed	Сайт просить ввести обов'язкові поля
12	Натиснути на кнопку Головної сторінки перебуваючи в корзині	Pass	
13	Змінити дані після збереження, під час заповнення наступної форми	Pass	
14	У вікні кількості товару для замовлення змінити кількість на 1,10,100	Pass	
15	У вікні кількості товару для замовлення змінити кількість <1, -1	Failed	Можливо встановлювати лише цілі додатні числа >=1
16	Натиснути Поскаржитись керівнику	                                Pass	
17	Обрати будь яке вікно із трьох запропонованих                    	Pass	
18	Заповнити форму ввести валідні дані	                Pass	ПІБ: Півторак Юрій Олександрович, Телефон:+380961927587 @mail: Pivtorak@i.ua
19	Заповнити форму ввести помилкові дані	                Pass	ПІБ:987654321 Телефон :+380999999999  @mail: 1@i.com
20	Спроба відправки форми без данних	                Failed	Сайт просить ввести обов'язкові поля
21	Ввести у вікно пошуку товарів Електрична пила і натиснути пошук	        Pass	Каталог Електричних пил відображається
22	Змінити Категорію з "Електрична пила" на "Бензопили"	Failed	Не можливо змінити категорію - товари не відображаються
23	Перевірити роботу кнопки "Зворотній зв'язок"     	Pass	
24	Перевірити роботу кнопки "Підписка через фейсбук"	Pass	
25	Перевірити роботу посилання на Ютуб канал магазину	Pass	
26	Перевірити посилання на Інстаграм магазину	        Pass	
27	Перевірити роботу кнопки "Деталі" для перегляду товару	Pass	
28	Зиінити локалізацію під час детального огляду товару	Pass	
29	Збільшити голотип Товару для перегляду запропонованих фото	        Pass	
30	Натиснути праворуч,ліворуч, згори, внизу картинки злоготипом	        Failed	При натисканні внизу фото відбувається перелистування до наступного фото, а при будь-яких інших натисканнях крім стрілок керування фотографіями - вікно закривається. 
31	Натиснути на кнопку "відеоогляд" товару          	Pass	
32	Перевірити кнопку "Залишити відгук" про товар	        Pass	
33	Написати відгук із валідними даними	                Pass	Ім'я : Юрій, телефон +380961927587
34	Написати відгук із помилковим номером телефону	        Failed	Ім'я: Юрій, телефон +380111111111
35	Написати відгук із полем "ім'я" цифрами	                Pass	Ім'я: 78946546521321321, телефон +380961927587
36	Перейти у поле "постачальникам" та натиснути на нього	Pass	
37	Заповнити поле заявки "телефон" валідними даними+380961927587	        Pass	В поле записано +380961927587
38	Заповнити поле заявки "Ім'я" валідними даними: Юрій	Pass	
39	Заповнити інформацію в поля заявки ВАЛІДНИМИ ДАНИМИ:	Pass	E-mail:PIVTORAK@I.UA Організація:Tommy Місто:Іллінці Заявка:1
40	Відправити заявку з форми "Постачальникам" без даних	Failed	Сайт просить ввести обов'язкові поля
41	Відправити заявку з форми "Постачальникам" з валідними даними	        Pass	Сайт прийняв заявку
42	Відправити повторну заявку і повторити всі валідні дані	Pass	Сайт прийняв заявку
43	Відправити повторну заявку і вказати навмисно невірні дані       	Pass	"Телефон:999888777666555444333222111 Ім'я:007 E-mail: 1@i.ua Організація: _______Зукумшклф//""
Місто:312 Заявка:1"
44	Перевірити роботу посилання "замовити зворотній дзвінок"         	Pass	
45	Ввести валідний телефон у поле зворотній дзвінок	Pass	Телефон:+380961927587
46	Ввести невірний телефон в поле зворотній дзвінок	Failed	Телефон валідується
47	Ввести валідне ім'я в поле зворотній дзвінок	        Pass	Юрій
48	Ввести ім'я в поле зворотній дзвінок цифрами	        Pass	987987987987987987987987987987
49	Відправити заявку із ім'ям цифрами 987987987987987987987987	        Pass	Сайт прийняв звернення
50	Перевірити кнопку "вайбер" в меню сайту наші контакти	Pass	
